best_bid_amount,best_ask_amount,estimated_delivery_price,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,open_interest,max_price,min_price,last_price,settlement_price,instrument_name,mark_price,index_price,state,timestamp,date_time,expiry,strike_price,option_type,bs_rho,bs_theta,bs_vega,bs_gamma,bs_delta,volume,volume_usd,days_to_expiry,yrs_to_expiry,futures_price,log_strike,atm_iv,ITM
0.0,7.1,51682.35,0.0,85.27,SYN.BTC-24FEB24,51728.0814,0.8012,0.0,0.0003,0.0,35.6,0.015,0.0001,0.0003,,BTC-24FEB24-45000-P,0.0002,51682.35,open,1708585717585,2024-02-22T07:08:37.585Z,2024-02-24 23:59:59,45000,P,-0.02698,-9.70474,0.95413,1e-05,-0.00917,46.2,1297.04,2,0.0054757015742642025,51682.53633333334,-0.13845744615713665,0.54045,False
36.3,10.7,51682.35,69.47,76.65,SYN.BTC-24FEB24,51728.0814,0.7334999999999999,0.0002,0.0004,0.0,16.1,0.015,0.0001,0.0003,,BTC-24FEB24-46000-P,0.0003,51682.35,open,1708585717585,2024-02-22T07:08:37.585Z,2024-02-24 23:59:59,46000,P,-0.04413,-15.346,1.46307,1e-05,-0.015,16.2,454.67,2,0.0054757015742642025,51682.53633333334,-0.11647853943836144,0.54045,False
1.0,10.0,51682.35,66.87,70.87,SYN.BTC-24FEB24,51728.0814,0.6890000000000001,0.0005,0.0007,0.0,16.9,0.0175,0.0001,0.0005,,BTC-24FEB24-47000-P,0.0006,51682.35,open,1708585717585,2024-02-22T07:08:37.585Z,2024-02-24 23:59:59,47000,P,-0.0867,-30.84092,2.58898,3e-05,-0.02946,19.7,1405.56,2,0.0054757015742642025,51682.53633333334,-0.09497233421739776,0.54045,False
0.1,2.0,51681.62,65.97,67.49,SYN.BTC-24FEB24,51728.5114,0.6579,0.0008,0.0009,0.0,53.6,0.019,0.0001,0.001,,BTC-24FEB24-47500-P,0.0008,51681.62,open,1708585718592,2024-02-22T07:08:38.592Z,2024-02-24 23:59:59,47500,P,-0.11525,-40.77138,3.27204,3e-05,-0.03916,62.9,6694.47,2,0.0054757015742642025,51682.53633333334,-0.0843902248868609,0.54045,False
4.0,12.7,51681.62,62.02,65.61,SYN.BTC-24FEB24,51728.5114,0.6357,0.001,0.0013,0.0,9.8,0.021,0.0001,0.0011,,BTC-24FEB24-48000-P,0.0011,51681.62,open,1708585718592,2024-02-22T07:08:38.592Z,2024-02-24 23:59:59,48000,P,-0.16146,-58.17911,4.28775,5e-05,-0.05485,21.6,2734.07,2,0.0054757015742642025,51682.53633333334,-0.07391892501956546,0.54045,False
4.0,13.0,51681.62,59.4,63.14,SYN.BTC-24FEB24,51728.5114,0.6103000000000001,0.0014,0.0018,0.0,44.9,0.0235,0.0001,0.0017,,BTC-24FEB24-48500-P,0.0016,51681.62,open,1708585718592,2024-02-22T07:08:38.592Z,2024-02-24 23:59:59,48500,P,-0.22198,-81.13943,5.48953,6e-05,-0.07539,59.9,7886.62,2,0.0054757015742642025,51682.53633333334,-0.06355613798401895,0.54045,False
12.0,24.7,51681.62,57.03,60.72,SYN.BTC-24FEB24,51728.5114,0.5889,0.002,0.0025,0.0,29.4,0.026,0.0001,0.0031,,BTC-24FEB24-49000-P,0.0022,51681.62,open,1708585719015,2024-02-22T07:08:39.015Z,2024-02-24 23:59:59,49000,P,-0.30905,-101.53698,7.01868,8e-05,-0.10489,36.1,7547.72,2,0.0054757015742642025,51682.53633333334,-0.0532996378168298,0.54045,False
12.0,21.8,51681.62,55.54,58.47,SYN.BTC-24FEB24,51728.5114,0.5704,0.003,0.0035,0.0,16.0,0.029,0.0001,0.0034,,BTC-24FEB24-49500-P,0.0033,51681.62,open,1708585719010,2024-02-22T07:08:39.010Z,2024-02-24 23:59:59,49500,P,-0.42962,-123.75484,8.83216,0.0001,-0.14568,18.5,6602.48,2,0.0054757015742642025,51682.53633333334,-0.04314726635281175,0.54045,False
9.5,31.4,51681.62,53.92,56.8,SYN.BTC-24FEB24,51728.5114,0.5550999999999999,0.0044,0.005,0.0,55.6,0.033,0.0001,0.005,,BTC-24FEB24-50000-P,0.0047,51681.62,open,1708585718592,2024-02-22T07:08:38.592Z,2024-02-24 23:59:59,50000,P,-0.59144,-147.61166,10.82434,0.00013,-0.2003,63.8,27272.05,2,0.0054757015742642025,51682.53633333334,-0.03309693049931038,0.54045,False
13.9,10.3,51681.62,52.93,54.96,SYN.BTC-24FEB24,51728.5114,0.5424,0.0065,0.007,0.0,26.3,0.0375,0.0001,0.007,,BTC-24FEB24-50500-P,0.0068,51681.62,open,1708585718592,2024-02-22T07:08:38.592Z,2024-02-24 23:59:59,50500,P,-0.79768,-170.07521,12.76541,0.00016,-0.2697,41.0,28815.58,2,0.0054757015742642025,51682.53633333334,-0.023146599646142255,0.54045,False
6.2,9.4,51681.62,52.53,54.33,SYN.BTC-24FEB24,51728.5114,0.5362,0.0095,0.01,0.0,51.9,0.0425,0.0001,0.009,,BTC-24FEB24-51000-P,0.0098,51681.62,open,1708585718592,2024-02-22T07:08:38.592Z,2024-02-24 23:59:59,51000,P,-1.0498,-189.27469,14.36851,0.00018,-0.35412,82.2,61592.21,2,0.0054757015742642025,51682.53633333334,-0.01329430320313058,0.54045,False
14.4,37.8,51681.62,52.79,56.18,SYN.BTC-24FEB24,51728.5114,0.5404,0.018,0.019,0.0,168.7,0.0525,0.0006,0.019,,BTC-24FEB24-51500-C,0.0184,51681.62,open,1708585718592,2024-02-22T07:08:38.592Z,2024-02-24 23:59:59,51500,C,1.5384,-202.84011,15.28117,0.00019,0.55167,191.0,165462.95,2,0.0054757015742642025,51682.53633333334,-0.003538128257765961,0.54045,True
